,id,artist_name,key,mode,track_name,rel_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0wqOReZDnrefefEsrIGeR4,Lifehouse,1.0,1.0,Hanging By A Moment,2000,68,0.00118,0.541,216067.0,0.864,0.0,0.0896,-4.915,0.0357,124.557,0.435
1,0KQx6HOpJueiSkztcS0r7D,Alicia Keys,11.0,0.0,Fallin',2001-06-05,70,0.263,0.652,210200.0,0.609,0.00101,0.233,-7.519,0.037,95.986,0.482
2,5X8kkUaUlAyAUr9TYqDFTH,Janet Jackson,2.0,1.0,All For You,2001-01-01,67,0.0174,0.753,329933.0,0.934,0.065,0.128,-3.011,0.0736,113.525,0.73
3,2hKdd3qO7cWr2Jo0Bcs0MA,Train,0.0,1.0,Drops of Jupiter (Tell Me),2001-03-27,80,0.153,0.481,259933.0,0.638,0.0,0.154,-5.862,0.0276,79.064,0.497
4,4onVfPBjiLokGWsGRdPH7v,Ja Rule,2.0,1.0,I'm Real - Murder Remix,2001-10-02,49,0.401,0.7,252933.0,0.631,0.0,0.119,-6.085,0.107,83.403,0.558
5,2f5N826udWfjT9iomeaBJt,Matchbox Twenty,9.0,1.0,If You're Gone,2000-05-23,66,0.427,0.544,274933.0,0.659,1.33e-06,0.126,-7.191,0.0298,109.933,0.361
6,3RmKpob8xzv1pzHEQrMJah,Eve,8.0,0.0,Let Me Blow Ya Mind,2001-01-01,75,0.242,0.908,230133.0,0.557,0.0,0.0709,-4.243,0.107,90.032,0.897
7,751gBcu62kORDelX7FV0mM,Dido,1.0,0.0,Thank You,1999-06-01,62,0.284,0.722,217827.0,0.595,0.00054,0.0694,-9.928,0.0415,79.981,0.738
8,5c1QJAiC3773EwiZLwHf5x,Lenny Kravitz,2.0,1.0,Again,2000-01-01,71,0.0148,0.55,231667.0,0.804,4.33e-05,0.105,-5.218,0.0271,79.166,0.789
9,0J2Wgm8zu6y5qKOFgYjv9H,The Hit Crew,6.0,0.0,Independent Women Part 1,2012-06-19,8,0.107,0.747,217680.0,0.638,6.44e-06,0.126,-6.137,0.245,97.99,0.947
10,4zYTZvtcww7OWKie7fxA9E,Blu Cantrell,5.0,0.0,Hit 'Em Up Style (Oops!),2001-01-18,67,0.201,0.667,250707.0,0.773,0.0,0.404,-4.983,0.0586,89.976,0.667
11,3WkibOpDF7cQ5xntM1epyf,Shaggy,0.0,1.0,It Wasn't Me,2000-08-08,79,0.0561,0.853,227600.0,0.606,0.0,0.313,-4.596,0.0713,94.759,0.654
12,7FWuzwapuKHTEyDJIcQOw3,Joe,6.0,1.0,Stutter (feat. Mystikal) - Double Take Remix,2000-04-18,60,0.0513,0.767,213027.0,0.759,0.0,0.31,-6.516,0.117,89.989,0.677
13,25CMmGsl22APKhfuj4Tp7j,Staind,6.0,1.0,It's Been Awhile,2001-05-22,69,0.00189,0.509,264707.0,0.774,0.000549,0.143,-4.054,0.0338,116.529,0.0824
14,2QsZVnbWVSjKMXK6K3uRBL,Usher,6.0,1.0,U Remind Me,2001-08-07,73,0.194,0.657,266893.0,0.629,0.0,0.254,-4.938,0.0782,93.985,0.726
15,2VbmTtZn6SdR33FGklXhVU,Off The Record Karaoke,7.0,1.0,Where the Party at (In the Style of Jagged Edge - Nelly) [Karaoke Version With Lead Vocal],2013-06-12,0,0.0951,0.808,254987.0,0.593,0.0,0.154,-8.097,0.0912,97.105,0.861
16,7FDV5ELOJHCGLe52AnttEd,Shaggy,6.0,1.0,Angel,2000-08-08,74,0.116,0.74,235133.0,0.766,0.0,0.0406,-2.939,0.178,170.531,0.807
17,3Gf5nttwcX9aaSQXRWidEZ,Nelly,7.0,1.0,Ride Wit Me,2000-06-27,77,0.0616,0.85,291782.0,0.7,1.8e-06,0.244,-6.49,0.0478,101.875,0.722
18,4KoecuyOpZaNFZ0UqVsllc,Uncle Kracker,5.0,1.0,Follow Me,2000-06-13,73,0.439,0.817,218440.0,0.585,0.0,0.147,-4.688,0.0301,105.014,0.916
19,2SLZ2rX5773RS16mcqBxG7,112,4.0,0.0,Peaches & Cream,2001,66,0.00277,0.677,193093.0,0.52,0.0,0.0532,-6.255,0.334,203.862,0.768
20,7nnWIPM5hwE3DaUBkvOIpy,Incubus,4.0,0.0,Drive,1999-10-26,76,0.0562,0.645,232453.0,0.792,0.0121,0.119,-7.34,0.036,90.565,0.666
21,1tJkic0TURTCXw3rBhYgWu,City High,7.0,1.0,What Would You Do?,2001-01-01,57,0.259,0.733,175560.0,0.794,0.0,0.483,-6.909,0.223,95.877,0.832
22,2Mpj1Ul5OFPyyP4wB62Rvi,Destiny's Child,1.0,0.0,Survivor,2001-05-01,72,0.0559,0.514,254027.0,0.911,0.0,0.775,-2.027,0.41,161.109,0.619
23,2hmeU8UkPXMPD0ZNeX05nQ,Arcade Player,2.0,0.0,"Lady Marmalade (16-Bit Christina Aguilera, Lil Kim, Mya & Pink Emulation)",2021-06-16,0,0.303,0.621,263639.0,0.523,0.341,0.148,-9.6,0.0299,109.951,0.325
24,0I3q5fE6wg7LIfHGngUTnV,Outkast,4.0,0.0,Ms. Jackson,2000-10-31,84,0.143,0.843,270507.0,0.806,0.0,0.0771,-5.946,0.269,94.948,0.613
25,1fgvJXlcZ7uIddMpqsqw0L,Jennifer Lopez,4.0,0.0,Love Don't Cost a Thing,2001-01-23,69,0.00305,0.786,221227.0,0.842,3.54e-06,0.473,-5.115,0.0707,97.577,0.685
26,6vgN6KGstss0GnBbKlMNK9,Faith Hill,2.0,1.0,The Way You Love Me,1999-11-09,59,0.127,0.627,186067.0,0.716,0.0,0.0344,-7.175,0.0352,101.99,0.734
27,4CiQ45N5V43BWaPWWFVRaJ,Ameritz Digital Karaoke,1.0,1.0,He Loves U Not (Karaoke Version),2013-01-31,0,0.026,0.595,225813.0,0.877,2.85e-06,0.419,-11.787,0.0579,156.972,0.394
28,4BggEwLhGfrbrl7JBhC8EC,Crazy Town,9.0,0.0,Butterfly,1999-11-04,74,0.00132,0.736,216733.0,0.811,0.000142,0.107,-4.17,0.081,103.502,0.609
