id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
0wqOReZDnrefefEsrIGeR4,Lifehouse,1.0,1.0,Hanging By A Moment,68,0.00118,0.541,216067.0,0.8640000000000001,0.0,0.0896,-4.915,0.0357,124.557,0.435,1,2000,0.0,0.198,0.154,0.6597,0.648,0.04400000000000001
0KQx6HOpJueiSkztcS0r7D,Alicia Keys,11.0,0.0,Fallin',70,0.263,0.652,210200.0,0.609,0.00101,0.233,-7.519,0.037000000000000005,95.986,0.48200000000000004,1,2001,0.0,0.418,0.116,0.9456,0.467,0.302
5X8kkUaUlAyAUr9TYqDFTH,Janet Jackson,2.0,1.0,All For You,67,0.0174,0.753,329933.0,0.934,0.065,0.128,-3.011,0.0736,113.525,0.73,1,2001,0.0,0.229,0.133,0.852,0.638,0.096
2hKdd3qO7cWr2Jo0Bcs0MA,Train,0.0,1.0,Drops of Jupiter (Tell Me),80,0.153,0.48100000000000004,259933.0,0.638,0.0,0.154,-5.862,0.0276,79.064,0.49700000000000005,1,2001,0.0,0.21,0.0,0.9288,0.79,0.21
4onVfPBjiLokGWsGRdPH7v,Ja Rule,2.0,1.0,I'm Real - Murder Remix,49,0.401,0.7,252933.0,0.631,0.0,0.11900000000000001,-6.085,0.107,83.40299999999999,0.5579999999999999,1,2001,1.0,0.232,0.194,0.5832,0.574,0.038000000000000006
2f5N826udWfjT9iomeaBJt,Matchbox Twenty,9.0,1.0,If You're Gone,66,0.42700000000000005,0.544,274933.0,0.659,1.33e-06,0.126,-7.191,0.0298,109.93299999999999,0.361,1,2000,1.0,0.101,0.283,-0.932,0.615,-0.18199999999999997
3RmKpob8xzv1pzHEQrMJah,Eve,8.0,0.0,Let Me Blow Ya Mind,75,0.242,0.9079999999999999,230133.0,0.557,0.0,0.0709,-4.243,0.107,90.03200000000001,0.897,1,2001,1.0,0.123,0.269,-0.964,0.608,-0.14600000000000002
751gBcu62kORDelX7FV0mM,Dido,1.0,0.0,Thank You,62,0.284,0.722,217827.0,0.595,0.00054,0.0694,-9.927999999999999,0.0415,79.98100000000001,0.738,1,1999,1.0,0.0,0.346,-0.9552,0.654,-0.346
5c1QJAiC3773EwiZLwHf5x,Lenny Kravitz,2.0,1.0,Again,71,0.0148,0.55,231667.0,0.804,4.33e-05,0.105,-5.218,0.0271,79.166,0.789,1,2000,0.0,0.221,0.214,0.3406,0.565,0.007000000000000006
4zYTZvtcww7OWKie7fxA9E,Blu Cantrell,5.0,0.0,Hit 'Em Up Style (Oops!),67,0.201,0.667,250707.0,0.773,0.0,0.40399999999999997,-4.9830000000000005,0.0586,89.976,0.667,1,2001,1.0,0.119,0.161,-0.5442,0.72,-0.04200000000000001
25CMmGsl22APKhfuj4Tp7j,Staind,6.0,1.0,It's Been Awhile,69,0.0018899999999999998,0.509,264707.0,0.774,0.000549,0.14300000000000002,-4.053999999999999,0.0338,116.529,0.0824,1,2001,1.0,0.087,0.0,0.5448,0.913,0.087
2QsZVnbWVSjKMXK6K3uRBL,Usher,6.0,1.0,U Remind Me,73,0.19399999999999998,0.657,266893.0,0.629,0.0,0.254,-4.938,0.0782,93.985,0.726,1,2001,0.0,0.15,0.072,0.6142,0.778,0.078
2VbmTtZn6SdR33FGklXhVU,Off The Record Karaoke,7.0,1.0,Where the Party at (In the Style of Jagged Edge - Nelly) [Karaoke Version With Lead Vocal],0,0.0951,0.8079999999999999,254987.0,0.593,0.0,0.154,-8.097000000000001,0.0912,97.105,0.861,1,2013,1.0,0.26,0.0,0.9889,0.74,0.26
7FDV5ELOJHCGLe52AnttEd,Shaggy,6.0,1.0,Angel,74,0.11599999999999999,0.74,235133.0,0.7659999999999999,0.0,0.0406,-2.9389999999999996,0.17800000000000002,170.53099999999998,0.807,1,2000,0.0,0.398,0.0,0.9894,0.602,0.398
3Gf5nttwcX9aaSQXRWidEZ,Nelly,7.0,1.0,Ride Wit Me,77,0.0616,0.85,291782.0,0.7,1.8000000000000001e-06,0.244,-6.49,0.0478,101.875,0.722,1,2000,1.0,0.102,0.04,0.9129,0.858,0.06199999999999999
